Model,Accuracy,Sensitivity (Recall),Specificity,F1-Score
Baseline CNN,0.9833333333333333,0.9833333333333334,0.9916666666666667,0.9833229101521784
CNN + PSO,0.9666666666666667,0.9666666666666667,0.9833333333333334,0.9666562434855117
CNN + GWO,0.95,0.9500000000000001,0.975,0.9499164578111946
CNN + Hybrid PSO-GWO,0.95,0.9499999999999998,0.975,0.94993894993895
